"lang","fr"
"sprache_mongolisch","Mongol"
"sprache_niederlaendisch","Néerlandais"
"sprache_norwegisch","Norvégien"
"sprache_russisch","Russe"
"sprache_paschto","Paschto"
"sprache_persisch","Persan"
"sprache_pidgin","Pidgin"
"sprache_polnisch","Polnais"
"sprache_portugiesisch","Portugais"
"sprache_punjabi","Punjabi"
"sprache_romanes","Romanes"
"sprache_rumaenisch","Roumain"
"sprache_serbisch","Serbe"
"sprache_singhalesisch","Cingalais"
"sprache_schwedisch","Suédois"
"sprache_slowakisch","Slovaque"
"sprache_slowenisch","Slovène"
"sprache_somali","Somali"
"sprache_sotho","Sotho"
"sprache_spanisch","Espagnol"
"sprache_swahili","Swahili"
"sprache_tamilisch","Tamil"
"sprache_telugu","Telugu"
"sprache_thailaendisch","Thai"
"sprache_tigrinya","Tigrinya"
"sprache_tschechisch","Tchèque"
"sprache_tuerkisch","Turc"
"sprache_twi","Twi"
"sprache_ukrainisch","Ukrainien"
"sprache_ungarisch","Hongrois"
"sprache_urdu","Urdu"
"sprache_weissrussisch","Biélorusse"
"sprache_wolof","Wolof"
"sprache_vietnamesisch","Vietnamien"
"sprache_yoruba","Yoruba"
"sprache_zulu","Zulu"
"sprache_gebaerdensprache","Langue des signes"
"releaseDataset","Activer l'annonce"
"releaseDataset_Title","Tandem linguistique de la %s- Annonce activée"
"deleteDataset_button_yes","Oui"
"deleteDataset_button_no","Non"
"deleteDataset","Effacer l'annonce"
"deleteDataset_Title","Tandem linguistique de la %s - Voulez-vous vraiment effacer votre annonce?"
"editDataset","Les changements dans ton annonce ont été enregistrés"
"editDataset_Title","Tandem linguistique de la %s - Éditer l'annonce"
"Report_Title","Tandem linguistique de la %s - Signaler l'annonce"
"Statistik_Title","Tandem linguistique de la %s - Statistique"
"Title","Tandem linguistique de la %s"
"Report_Form_email","Votre adresse e-mail (optional)"
"Report_Form_email_nochmal","Répétez votre adresse e-mail"
"Report_Form_name","Votre nom (optional)"
"Report_Form_text","Décrivez pourquoi vous voulez signaler cette annonce"
"Report_Form_senden","envoyer"
"Report_textabove","Le Tandem linguistique de la %s souhaite proposer un échange libre de discriminations. Si vous vivez une expérience négative dans ce cadre, adressez-vous à nous. "
"Report_gesendet","Message envoyé!"
"Report_nichtGesendet","Message envoyé!"
"Report_zurück","retour"
"Report_email_subject","Tandem linguistique de la %s - Annonce signalée"
"Report_email","Bonjour,

Une annonce à été signalée:

de: %s

email: %s

Raison: %s

Cette annonce à été signalée:
%s (%s)

%s"
"Reminder_email","Bonjour %s,

Nous vous souhaite beaucoup de succès et de plaisir avec le Tandem linguistique de la %s!

Cordialement

L'équipe du Tandem linguistique de la %s



Vous pouvez effacer votre offre sous ce lien:
%s

Vous pouvez éditer votre offre sous ce lien:
%s

Si vous avec des questions ou des remarques, n'hésitez pas à nous contacter à cette adresse: %s"
"Reminder_subject","Tandem linguistique de la %s: ton annonce"
"Edit_ok","Données enregistrées"
